,origin,time_hour,tailnum,year,month,day,dep_time,sched_dep_time,dep_delay,arr_delay,carrier,flight,dest,air_time,distance,hour,minute,seats,temp,dewp,humid,wind_dir,wind_speed,precip,pressure,visib,week_day,wknd,evening_rush_hour,wind_sin,wind_cos,precip_indic
355,EWR,2013-07-23 20:00,N193JB,2013,7,23,2301,2045,136,133,B6,2680,BOS,44,200,20,45,20,82.94,71.06,67.44,290,9.20624,0,1002.2,10,Tuesday,FALSE,FALSE,-8.651035793,3.148719524,FALSE
356,EWR,2013-07-23 21:00,N39475,2013,7,23,2306,2129,97,88,UA,1451,BOS,47,200,21,29,191,82.04,69.98,66.93,280,8.05546,0,1003,10,Tuesday,FALSE,FALSE,-7.933079462,1.398815949,FALSE
357,EWR,2013-07-24 6:00,N438UA,2013,7,24,656,659,-3,-20,UA,751,BOS,42,200,6,59,200,73.94,66.92,78.72,270,5.7539,0,1004.3,10,Wednesday,FALSE,FALSE,-5.7539,-1.06E-15,FALSE
358,EWR,2013-07-24 6:00,N833UA,2013,7,24,600,604,-4,-16,UA,252,BOS,45,200,6,4,179,73.94,66.92,78.72,270,5.7539,0,1004.3,10,Wednesday,FALSE,FALSE,-5.7539,-1.06E-15,FALSE
359,EWR,2013-07-24 6:00,N203JB,2013,7,24,613,608,5,8,B6,2180,BOS,42,200,6,8,20,73.94,66.92,78.72,270,5.7539,0,1004.3,10,Wednesday,FALSE,FALSE,-5.7539,-1.06E-15,FALSE
360,EWR,2013-07-24 8:00,N247JB,2013,7,24,904,836,28,26,B6,2280,BOS,34,200,8,36,20,80.06,64.04,58.14,320,12.65858,0,1005.7,10,Wednesday,FALSE,FALSE,-8.13677838,9.697034867,FALSE
362,EWR,2013-07-24 10:00,N839UA,2013,7,24,1009,1015,-6,-18,UA,439,BOS,36,200,10,15,179,82.94,64.94,54.63,310,10.35702,0,1006.6,10,Wednesday,FALSE,FALSE,-7.933937618,6.657364129,FALSE
364,EWR,2013-07-24 12:00,N18220,2013,7,24,1237,1237,0,-17,UA,1248,BOS,40,200,12,37,149,80.96,64.04,56.45,310,13.80936,0,1007.9,10,Wednesday,FALSE,FALSE,-10.57858349,8.876485506,FALSE
366,EWR,2013-07-24 14:00,N298JB,2013,7,24,1450,1400,50,37,B6,2480,BOS,42,200,14,0,20,82.94,62.06,49.37,310,12.65858,0,1008.6,10,Wednesday,FALSE,FALSE,-9.697034867,8.13677838,FALSE
367,EWR,2013-07-24 16:00,N470UA,2013,7,24,1654,1659,-5,-29,UA,244,BOS,45,200,16,59,200,80.06,60.08,50.55,340,11.5078,0,1008.5,10,Wednesday,FALSE,FALSE,-3.935899405,10.81379474,FALSE
368,EWR,2013-07-24 17:00,N15710,2013,7,24,1817,1742,35,46,UA,1686,BOS,33,200,17,42,149,80.06,59,48.64,350,8.05546,0,1008.8,10,Wednesday,FALSE,TRUE,-1.398815949,7.933079462,FALSE
369,EWR,2013-07-24 17:00,N179JB,2013,7,24,1759,1730,29,45,B6,2580,BOS,34,200,17,30,20,80.06,59,48.64,350,8.05546,0,1008.8,10,Wednesday,FALSE,TRUE,-1.398815949,7.933079462,FALSE
370,EWR,2013-07-24 19:00,N33714,2013,7,24,1908,1906,2,15,UA,1142,BOS,33,200,19,6,149,78.08,55.04,45,320,12.65858,0,1010.4,10,Wednesday,FALSE,FALSE,-8.13677838,9.697034867,FALSE
371,EWR,2013-07-24 20:00,N819UA,2013,7,24,2102,2059,3,8,UA,994,BOS,33,200,20,59,179,75.92,55.04,48.34,320,14.96014,0,1011.2,10,Wednesday,FALSE,FALSE,-9.616192631,11.46013212,FALSE
372,EWR,2013-07-24 20:00,N296JB,2013,7,24,2114,2045,29,43,B6,2680,BOS,37,200,20,45,20,75.92,55.04,48.34,320,14.96014,0,1011.2,10,Wednesday,FALSE,FALSE,-9.616192631,11.46013212,FALSE
373,EWR,2013-07-24 21:00,N75425,2013,7,24,2134,2129,5,11,UA,1451,BOS,34,200,21,29,191,73.04,55.04,53.24,330,11.5078,0,1012.3,10,Wednesday,FALSE,FALSE,-5.7539,9.966047142,FALSE
375,EWR,2013-07-25 6:00,N825UA,2013,7,25,600,604,-4,-7,UA,230,BOS,34,200,6,4,179,64.04,48.02,55.95,20,19.56326,0,1014.7,10,Thursday,FALSE,FALSE,6.691028989,18.38345106,FALSE
376,EWR,2013-07-25 6:00,N316JB,2013,7,25,603,608,-5,-12,B6,2180,BOS,35,200,6,8,20,64.04,48.02,55.95,20,19.56326,0,1014.7,10,Thursday,FALSE,FALSE,6.691028989,18.38345106,FALSE
377,EWR,2013-07-25 8:00,N337JB,2013,7,25,831,836,-5,-21,B6,2280,BOS,38,200,8,36,20,64.94,51.08,60.77,20,14.96014,0,1016.4,10,Thursday,FALSE,FALSE,5.116669227,14.05793316,FALSE
378,EWR,2013-07-25 8:00,N23707,2013,7,25,803,807,-4,-17,UA,1199,BOS,36,200,8,7,149,64.94,51.08,60.77,20,14.96014,0,1016.4,10,Thursday,FALSE,FALSE,5.116669227,14.05793316,FALSE
381,EWR,2013-07-25 12:00,N33284,2013,7,25,1239,1237,2,-18,UA,1248,BOS,37,200,12,37,149,66.92,53.96,63.08,20,14.96014,0,1017.2,10,Thursday,FALSE,FALSE,5.116669227,14.05793316,FALSE
382,EWR,2013-07-25 14:00,N809UA,2013,7,25,1458,1459,-1,-17,UA,236,BOS,42,200,14,59,179,66.92,55.94,67.79,10,12.65858,0,1017.2,10,Thursday,FALSE,FALSE,2.198139349,12.46626773,FALSE
384,EWR,2013-07-25 16:00,N819UA,2013,7,25,1736,1659,37,40,UA,244,BOS,50,200,16,59,179,66.92,57.02,70.49,30,13.80936,0,1017.1,10,Thursday,FALSE,FALSE,6.90468,11.95925657,FALSE
385,EWR,2013-07-25 17:00,N13718,2013,7,25,1936,1742,114,97,UA,1686,BOS,38,200,17,42,149,68,57.02,67.91,30,12.65858,0,1016.9,10,Thursday,FALSE,TRUE,6.32929,10.96265186,FALSE
386,EWR,2013-07-25 17:00,N265JB,2013,7,25,1831,1730,61,64,B6,2580,BOS,42,200,17,30,20,68,57.02,67.91,30,12.65858,0,1016.9,10,Thursday,FALSE,TRUE,6.32929,10.96265186,FALSE
388,EWR,2013-07-25 20:00,N334JB,2013,7,25,6,2045,201,183,B6,2680,BOS,36,200,20,45,20,68,57.02,67.91,30,9.20624,0,1017.2,10,Thursday,FALSE,FALSE,4.60312,7.972837713,FALSE
392,EWR,2013-07-26 6:00,N33264,2013,7,26,646,650,-4,-10,UA,1106,BOS,54,200,6,50,149,68,59,72.92,360,11.5078,0,1016.4,10,Friday,FALSE,FALSE,-2.82E-15,11.5078,FALSE
393,EWR,2013-07-26 6:00,N817UA,2013,7,26,600,604,-4,-22,UA,230,BOS,38,200,6,4,179,68,59,72.92,360,11.5078,0,1016.4,10,Friday,FALSE,FALSE,-2.82E-15,11.5078,FALSE
394,EWR,2013-07-26 8:00,N39726,2013,7,26,801,807,-6,-17,UA,1199,BOS,39,200,8,7,149,69.98,59,68.13,340,11.5078,0,1017,10,Friday,FALSE,FALSE,-3.935899405,10.81379474,FALSE
395,EWR,2013-07-26 8:00,N292JB,2013,7,26,827,836,-9,8,B6,2280,BOS,46,200,8,36,20,69.98,59,68.13,340,11.5078,0,1017,10,Friday,FALSE,FALSE,-3.935899405,10.81379474,FALSE
397,EWR,2013-07-26 11:00,N346JB,2013,7,26,1124,1125,-1,24,B6,2380,BOS,48,200,11,25,20,75.02,59,57.47,280,5.7539,0,1017,10,Friday,FALSE,FALSE,-5.66648533,0.999154249,FALSE
398,EWR,2013-07-26 12:00,N26226,2013,7,26,1235,1237,-2,4,UA,1248,BOS,45,200,12,37,149,80.06,60.08,50.55,300,4.60312,0,1016.6,10,Friday,FALSE,FALSE,-3.986418857,2.30156,FALSE
399,EWR,2013-07-26 14:00,N817UA,2013,7,26,1453,1459,-6,-19,UA,779,BOS,43,200,14,59,179,82.94,55.94,39.67,270,8.05546,0,1016,10,Friday,FALSE,FALSE,-8.05546,-1.48E-15,FALSE
400,EWR,2013-07-26 14:00,N239JB,2013,7,26,1446,1400,46,39,B6,2480,BOS,45,200,14,0,20,82.94,55.94,39.67,270,8.05546,0,1016,10,Friday,FALSE,FALSE,-8.05546,-1.48E-15,FALSE
401,EWR,2013-07-26 16:00,N810UA,2013,7,26,1654,1659,-5,-6,UA,244,BOS,45,200,16,59,179,82.04,59,45.6,260,9.20624,0,1015.7,10,Friday,FALSE,FALSE,-9.066376528,-1.598646799,FALSE
402,EWR,2013-07-26 17:00,N14704,2013,7,26,1739,1742,-3,-8,UA,1136,BOS,43,200,17,42,149,82.94,57.02,41.25,260,14.96014,0,1015.5,10,Friday,FALSE,TRUE,-14.73286186,-2.597801049,FALSE
404,EWR,2013-07-26 19:00,N17730,2013,7,26,1948,1906,42,34,UA,1116,BOS,43,200,19,6,149,80.96,55.04,40.94,240,9.20624,0,1015.9,10,Friday,FALSE,FALSE,-7.972837713,-4.60312,FALSE
405,EWR,2013-07-26 20:00,N274JB,2013,7,26,2113,2045,28,29,B6,2680,BOS,42,200,20,45,20,78.98,55.04,43.68,230,11.5078,0,1016.2,10,Friday,FALSE,FALSE,-8.815486243,-7.397071255,FALSE
406,EWR,2013-07-26 20:00,N459UA,2013,7,26,2054,2059,-5,-10,UA,994,BOS,42,200,20,59,200,78.98,55.04,43.68,230,11.5078,0,1016.2,10,Friday,FALSE,FALSE,-8.815486243,-7.397071255,FALSE
407,EWR,2013-07-26 21:00,N39463,2013,7,26,2143,2149,-6,-8,UA,1451,BOS,42,200,21,49,191,75.92,57.92,53.65,200,10.35702,0,1016.8,10,Friday,FALSE,FALSE,-3.542309465,-9.732415267,FALSE
408,EWR,2013-07-27 6:00,N13994,2013,7,27,649,639,10,-7,EV,4179,BOS,40,200,6,39,55,69.08,64.94,86.66,250,4.60312,0,1017.4,9,Saturday,TRUE,FALSE,-4.325517897,-1.574359762,FALSE
410,EWR,2013-07-27 8:00,N236JB,2013,7,27,823,830,-7,-20,B6,2280,BOS,41,200,8,30,20,75.02,64.94,70.88,230,5.7539,0,1017.5,10,Saturday,TRUE,FALSE,-4.407743121,-3.698535627,FALSE
411,EWR,2013-07-27 11:00,N265JB,2013,7,27,1111,1125,-14,-24,B6,2380,BOS,41,200,11,25,20,80.06,62.06,54.23,210,5.7539,0,1017.6,10,Saturday,TRUE,FALSE,-2.87695,-4.983023571,FALSE
413,EWR,2013-07-27 15:00,N78501,2013,7,27,1526,1508,18,8,UA,1425,BOS,35,200,15,8,149,82.04,62.06,50.84,130,11.5078,0,1015.6,10,Saturday,TRUE,FALSE,8.815486243,-7.397071255,FALSE
414,EWR,2013-07-27 17:00,N358JB,2013,7,27,1723,1730,-7,-14,B6,2580,BOS,41,200,17,30,20,78.98,60.08,52.37,140,11.5078,0,1014.7,10,Saturday,TRUE,TRUE,7.397071255,-8.815486243,FALSE
415,EWR,2013-07-27 19:00,N37263,2013,7,27,1933,1912,21,-2,UA,1116,BOS,40,200,19,12,149,75.02,64.04,68.69,150,11.5078,0,1015.3,10,Saturday,TRUE,FALSE,5.7539,-9.966047142,FALSE
417,EWR,2013-07-27 21:00,N37252,2013,7,27,2137,2129,8,-19,UA,1248,BOS,42,200,21,29,149,73.04,64.94,75.75,180,4.60312,0,1015.8,10,Saturday,TRUE,FALSE,5.64E-16,-4.60312,FALSE
418,EWR,2013-07-28 7:00,N566UA,2013,7,28,723,720,3,-10,UA,440,BOS,37,200,7,20,178,71.96,68,87.35,160,4.60312,0,1015.2,10,Sunday,TRUE,FALSE,1.574359762,-4.325517897,FALSE
420,EWR,2013-07-28 11:00,N339JB,2013,7,28,1119,1125,-6,3,B6,2380,BOS,47,200,11,25,20,75.92,68,76.48,140,10.35702,0,1014.6,10,Sunday,TRUE,FALSE,6.657364129,-7.933937618,FALSE
421,EWR,2013-07-28 12:00,N439UA,2013,7,28,1231,1234,-3,-18,UA,244,BOS,39,200,12,34,200,75.02,68,78.81,140,10.35702,0,1014.7,10,Sunday,TRUE,FALSE,6.657364129,-7.933937618,FALSE
422,EWR,2013-07-28 14:00,N292JB,2013,7,28,1405,1400,5,-9,B6,2480,BOS,36,200,14,0,20,78.08,69.08,73.88,150,6.90468,0,1013.6,10,Sunday,TRUE,FALSE,3.45234,-5.979628285,FALSE
423,EWR,2013-07-28 14:00,N73406,2013,7,28,1450,1455,-5,-16,UA,1116,BOS,39,200,14,55,191,78.08,69.08,73.88,150,6.90468,0,1013.6,10,Sunday,TRUE,FALSE,3.45234,-5.979628285,FALSE
424,EWR,2013-07-28 16:00,N36444,2013,7,28,1627,1630,-3,-17,UA,1090,BOS,43,200,16,30,191,78.08,69.08,73.88,130,12.65858,0,1013.2,10,Sunday,TRUE,FALSE,9.697034867,-8.13677838,FALSE
431,EWR,2013-07-29 6:00,N474UA,2013,7,29,618,604,14,-14,UA,230,BOS,35,200,6,4,200,69.98,68,93.44,270,5.7539,0,1015.5,10,Monday,FALSE,FALSE,-5.7539,-1.06E-15,FALSE
432,EWR,2013-07-29 6:00,N238JB,2013,7,29,603,608,-5,-20,B6,2180,BOS,35,200,6,8,20,69.98,68,93.44,270,5.7539,0,1015.5,10,Monday,FALSE,FALSE,-5.7539,-1.06E-15,FALSE
433,EWR,2013-07-29 6:00,N498UA,2013,7,29,707,649,18,12,UA,475,BOS,36,200,6,49,200,69.98,68,93.44,270,5.7539,0,1015.5,10,Monday,FALSE,FALSE,-5.7539,-1.06E-15,FALSE
434,EWR,2013-07-29 6:00,N431UA,2013,7,29,657,659,-2,-27,UA,751,BOS,33,200,6,59,200,69.98,68,93.44,270,5.7539,0,1015.5,10,Monday,FALSE,FALSE,-5.7539,-1.06E-15,FALSE
435,EWR,2013-07-29 8:00,N236JB,2013,7,29,840,836,4,-2,B6,2280,BOS,42,200,8,36,20,77,62.06,59.98,350,5.7539,0,1016.4,10,Monday,FALSE,FALSE,-0.999154249,5.66648533,FALSE
439,EWR,2013-07-29 12:00,N24212,2013,7,29,1237,1237,0,-8,UA,1248,BOS,48,200,12,37,149,84.02,64.04,51.12,220,6.90468,0,1016.3,10,Monday,FALSE,FALSE,-4.438242753,-5.289291746,FALSE
440,EWR,2013-07-29 14:00,N358JB,2013,7,29,1514,1400,74,59,B6,2480,BOS,39,200,14,0,20,86,62.06,44.75,280,9.20624,0,1016.2,10,Monday,FALSE,FALSE,-9.066376528,1.598646799,FALSE
441,EWR,2013-07-29 14:00,N843UA,2013,7,29,1548,1459,49,28,UA,236,BOS,37,200,14,59,179,86,62.06,44.75,280,9.20624,0,1016.2,10,Monday,FALSE,FALSE,-9.066376528,1.598646799,FALSE
442,EWR,2013-07-29 16:00,N806UA,2013,7,29,1703,1659,4,-7,UA,248,BOS,47,200,16,59,179,86,57.02,37.38,260,17.2617,0,1016.3,10,Monday,FALSE,FALSE,-16.99945599,-2.997462748,FALSE
443,EWR,2013-07-29 17:00,N23721,2013,7,29,1739,1742,-3,-7,UA,1686,BOS,37,200,17,42,149,84.02,48.02,28.6,280,12.65858,0,1016.5,10,Monday,FALSE,TRUE,-12.46626773,2.198139349,FALSE
444,EWR,2013-07-29 17:00,N238JB,2013,7,29,1740,1730,10,19,B6,2580,BOS,38,200,17,30,20,84.02,48.02,28.6,280,12.65858,0,1016.5,10,Monday,FALSE,TRUE,-12.46626773,2.198139349,FALSE
445,EWR,2013-07-29 19:00,N24702,2013,7,29,1904,1906,-2,4,UA,1116,BOS,39,200,19,6,149,80.06,51.98,37.69,260,12.65858,0,1017.5,10,Monday,FALSE,FALSE,-12.46626773,-2.198139349,FALSE
446,EWR,2013-07-29 20:00,N853UA,2013,7,29,2102,2059,3,-11,UA,994,BOS,44,200,20,59,179,78.08,53.06,41.86,260,8.05546,0,1018.1,10,Monday,FALSE,FALSE,-7.933079462,-1.398815949,FALSE
447,EWR,2013-07-29 20:00,N346JB,2013,7,29,2028,2045,-17,-9,B6,2680,BOS,44,200,20,45,20,78.08,53.06,41.86,260,8.05546,0,1018.1,10,Monday,FALSE,FALSE,-7.933079462,-1.398815949,FALSE
450,EWR,2013-07-30 6:00,N353JB,2013,7,30,603,608,-5,-19,B6,2180,BOS,35,200,6,8,20,66.92,55.94,67.79,270,5.7539,0,1021.1,10,Tuesday,FALSE,FALSE,-5.7539,-1.06E-15,FALSE
451,EWR,2013-07-30 6:00,N841UA,2013,7,30,626,604,22,5,UA,230,BOS,38,200,6,4,179,66.92,55.94,67.79,270,5.7539,0,1021.1,10,Tuesday,FALSE,FALSE,-5.7539,-1.06E-15,FALSE
453,EWR,2013-07-30 8:00,N292JB,2013,7,30,829,836,-7,-11,B6,2280,BOS,35,200,8,36,20,73.94,53.96,49.66,320,12.65858,0,1021.6,10,Tuesday,FALSE,FALSE,-8.13677838,9.697034867,FALSE
454,EWR,2013-07-30 10:00,N27724,2013,7,30,1008,1015,-7,-24,UA,1163,BOS,36,200,10,15,149,78.98,55.94,45.14,320,6.90468,0,1021.2,10,Tuesday,FALSE,FALSE,-4.438242753,5.289291746,FALSE
455,EWR,2013-07-30 11:00,N373JB,2013,7,30,1114,1125,-11,-17,B6,2380,BOS,43,200,11,25,20,80.96,53.96,39.36,300,9.20624,0,1020.9,10,Tuesday,FALSE,FALSE,-7.972837713,4.60312,FALSE
456,EWR,2013-07-30 12:00,N73251,2013,7,30,1238,1237,1,-17,UA,1248,BOS,38,200,12,37,149,82.04,53.96,38,320,16.11092,0,1020.5,10,Tuesday,FALSE,FALSE,-10.35589976,12.34168074,FALSE
459,EWR,2013-07-30 16:00,N830UA,2013,7,30,1738,1659,39,35,UA,244,BOS,36,200,16,59,179,80.96,53.06,38.08,320,10.35702,0,1019.3,10,Tuesday,FALSE,FALSE,-6.657364129,7.933937618,FALSE
460,EWR,2013-07-30 17:00,N304JB,2013,7,30,1729,1730,-1,-15,B6,2580,BOS,36,200,17,30,20,80.06,53.06,39.22,310,9.20624,0,1019.4,10,Tuesday,FALSE,TRUE,-7.052388994,5.917657004,FALSE
461,EWR,2013-07-30 17:00,N14230,2013,7,30,1749,1742,7,-7,UA,1686,BOS,40,200,17,42,149,80.06,53.06,39.22,310,9.20624,0,1019.4,10,Tuesday,FALSE,TRUE,-7.052388994,5.917657004,FALSE
463,EWR,2013-07-30 20:00,N274JB,2013,7,30,2035,2045,-10,-27,B6,2680,BOS,38,200,20,45,20,75.92,55.94,49.95,280,6.90468,0,1020,10,Tuesday,FALSE,FALSE,-6.799782396,1.198985099,FALSE
464,EWR,2013-07-30 20:00,N841UA,2013,7,30,2056,2059,-3,-31,UA,994,BOS,36,200,20,59,179,75.92,55.94,49.95,280,6.90468,0,1020,10,Tuesday,FALSE,FALSE,-6.799782396,1.198985099,FALSE
465,EWR,2013-07-30 21:00,N37420,2013,7,30,2125,2129,-4,-27,UA,1451,BOS,35,200,21,29,191,75.02,57.02,53.52,280,4.60312,0,1020.3,10,Tuesday,FALSE,FALSE,-4.533188264,0.7993234,FALSE
466,EWR,2013-07-31 6:00,N249JB,2013,7,31,924,608,196,202,B6,2180,BOS,35,200,6,8,20,68,57.92,70.15,260,3.45234,0,1021.1,10,Wednesday,FALSE,FALSE,-3.399891198,-0.59949255,FALSE
467,EWR,2013-07-31 6:00,N484UA,2013,7,31,654,659,-5,-24,UA,751,BOS,38,200,6,59,200,68,57.92,70.15,260,3.45234,0,1021.1,10,Wednesday,FALSE,FALSE,-3.399891198,-0.59949255,FALSE
468,EWR,2013-07-31 6:00,N853UA,2013,7,31,609,604,5,-19,UA,252,BOS,36,200,6,4,179,68,57.92,70.15,260,3.45234,0,1021.1,10,Wednesday,FALSE,FALSE,-3.399891198,-0.59949255,FALSE
469,EWR,2013-07-31 8:00,N283JB,2013,7,31,832,836,-4,-7,B6,2280,BOS,38,200,8,36,20,75.92,55.94,49.95,360,4.60312,0,1021.2,10,Wednesday,FALSE,FALSE,-1.13E-15,4.60312,FALSE
470,EWR,2013-07-31 8:00,N24702,2013,7,31,800,807,-7,-12,UA,1199,BOS,37,200,8,7,149,75.92,55.94,49.95,360,4.60312,0,1021.2,10,Wednesday,FALSE,FALSE,-1.13E-15,4.60312,FALSE
471,EWR,2013-07-31 10:00,N833UA,2013,7,31,1008,1015,-7,-18,UA,439,BOS,42,200,10,15,179,80.96,55.04,40.94,0,0,0,1020.6,10,Wednesday,FALSE,FALSE,0,0,FALSE
472,EWR,2013-07-31 11:00,N334JB,2013,7,31,1121,1125,-4,-15,B6,2380,BOS,38,200,11,25,20,78.98,55.94,45.14,0,0,0,1020.2,10,Wednesday,FALSE,FALSE,0,0,FALSE
474,EWR,2013-07-31 14:00,N183JB,2013,7,31,1434,1400,34,20,B6,2480,BOS,37,200,14,0,20,80.06,59,48.64,180,11.5078,0,1018.8,10,Wednesday,FALSE,FALSE,1.41E-15,-11.5078,FALSE
476,EWR,2013-07-31 16:00,N841UA,2013,7,31,1712,1659,13,-14,UA,244,BOS,40,200,16,59,179,80.06,60.08,50.55,160,9.20624,0,1017.9,10,Wednesday,FALSE,FALSE,3.148719524,-8.651035793,FALSE
477,EWR,2013-07-31 17:00,N374JB,2013,7,31,1718,1730,-12,-11,B6,2580,BOS,47,200,17,30,20,78.98,62.06,56.18,150,9.20624,0,1017.6,10,Wednesday,FALSE,TRUE,4.60312,-7.972837713,FALSE
478,EWR,2013-07-31 17:00,N54711,2013,7,31,1803,1742,21,7,UA,1686,BOS,36,200,17,42,149,78.98,62.06,56.18,150,9.20624,0,1017.6,10,Wednesday,FALSE,TRUE,4.60312,-7.972837713,FALSE
480,EWR,2013-07-31 20:00,N197JB,2013,7,31,2040,2045,-5,-5,B6,2680,BOS,45,200,20,45,20,75.92,60.98,59.84,180,11.5078,0,1017.3,10,Wednesday,FALSE,FALSE,1.41E-15,-11.5078,FALSE
481,EWR,2013-07-31 20:00,N818UA,2013,7,31,2056,2059,-3,-21,UA,994,BOS,40,200,20,59,179,75.92,60.98,59.84,180,11.5078,0,1017.3,10,Wednesday,FALSE,FALSE,1.41E-15,-11.5078,FALSE
482,EWR,2013-07-31 21:00,N37419,2013,7,31,2150,2129,21,19,UA,1451,BOS,47,200,21,29,191,73.94,60.98,63.94,200,9.20624,0,1017.6,10,Wednesday,FALSE,FALSE,-3.148719524,-8.651035793,FALSE
483,JFK,2013-07-01 6:00,N298JB,2013,7,1,646,645,1,2,B6,318,BOS,41,187,6,45,20,71.96,69.98,93.49,180,8.05546,0,1014.2,0.5,Monday,FALSE,FALSE,9.86E-16,-8.05546,FALSE
485,JFK,2013-07-01 9:00,N326NB,2013,7,1,929,915,14,12,DL,867,BOS,40,187,9,15,145,75.02,71.06,87.5,180,18.41248,0,1014.9,1,Monday,FALSE,FALSE,2.25E-15,-18.41248,FALSE
492,JFK,2013-07-01 16:00,N341NB,2013,7,1,1931,1615,196,178,DL,402,BOS,36,187,16,15,145,73.04,69.98,90.14,180,12.65858,0,1015.9,9,Monday,FALSE,FALSE,1.55E-15,-12.65858,FALSE
494,JFK,2013-07-01 16:00,N294JB,2013,7,1,1914,1636,158,139,B6,918,BOS,38,187,16,36,20,73.04,69.98,90.14,180,12.65858,0,1015.9,9,Monday,FALSE,FALSE,1.55E-15,-12.65858,FALSE
497,JFK,2013-07-01 20:00,N318JB,2013,7,1,2255,2000,175,144,B6,418,BOS,41,187,20,0,20,71.96,69.98,93.49,180,14.96014,0,1017.4,9,Monday,FALSE,FALSE,1.83E-15,-14.96014,FALSE
498,JFK,2013-07-01 21:00,N341NB,2013,7,1,2320,2145,95,69,DL,985,BOS,40,187,21,45,145,71.96,69.98,93.49,180,13.80936,0,1017.8,9,Monday,FALSE,FALSE,1.69E-15,-13.80936,FALSE
499,JFK,2013-07-01 23:00,N351JB,2013,7,1,2319,2300,19,19,B6,718,BOS,42,187,23,0,20,71.06,69.08,93.47,180,10.35702,0,1018.1,9,Monday,FALSE,FALSE,1.27E-15,-10.35702,FALSE
505,JFK,2013-07-02 12:00,N328NB,2013,7,2,1200,1200,0,-11,DL,1006,BOS,38,187,12,0,145,73.94,71.06,90.73,180,14.96014,0,1021.2,7,Tuesday,FALSE,FALSE,1.83E-15,-14.96014,FALSE
511,JFK,2013-07-02 16:00,N328NB,2013,7,2,1630,1625,5,35,DL,402,BOS,36,187,16,25,145,75.92,69.08,79.37,180,18.41248,0,1020,10,Tuesday,FALSE,FALSE,2.25E-15,-18.41248,FALSE
512,JFK,2013-07-02 16:00,N373JB,2013,7,2,1742,1636,66,52,B6,918,BOS,37,187,16,36,20,75.92,69.08,79.37,180,18.41248,0,1020,10,Tuesday,FALSE,FALSE,2.25E-15,-18.41248,FALSE
517,JFK,2013-07-03 6:00,N239JB,2013,7,3,643,645,-2,-8,B6,318,BOS,39,187,6,45,20,71.96,69.08,90.66,180,8.05546,0,1024.1,10,Wednesday,FALSE,FALSE,9.86E-16,-8.05546,FALSE
519,JFK,2013-07-03 9:00,N302NB,2013,7,3,913,915,-2,-21,DL,867,BOS,45,187,9,15,145,75.02,69.98,84.34,190,6.90468,0,1024.9,10,Wednesday,FALSE,FALSE,-1.198985099,-6.799782396,FALSE
520,JFK,2013-07-03 10:00,N266JB,2013,7,3,1018,1017,1,-5,B6,518,BOS,44,187,10,17,20,77,71.06,81.92,170,6.90468,0,1024.9,10,Wednesday,FALSE,FALSE,1.198985099,-6.799782396,FALSE
521,JFK,2013-07-03 12:00,N324US,2013,7,3,1156,1200,-4,-11,DL,1006,BOS,41,187,12,0,182,80.06,71.96,76.36,170,11.5078,0,1024.7,10,Wednesday,FALSE,FALSE,1.998308499,-11.33297066,FALSE
522,JFK,2013-07-03 12:00,N337JB,2013,7,3,1255,1255,0,-9,B6,1318,BOS,41,187,12,55,20,80.06,71.96,76.36,170,11.5078,0,1024.7,10,Wednesday,FALSE,FALSE,1.998308499,-11.33297066,FALSE
524,JFK,2013-07-03 13:00,N266JB,2013,7,3,1407,1349,18,-2,B6,118,BOS,39,187,13,49,20,73.94,71.06,90.73,180,14.96014,0,1024.5,7,Wednesday,FALSE,FALSE,1.83E-15,-14.96014,FALSE
532,JFK,2013-07-03 21:00,N373NW,2013,7,3,2143,2145,-2,15,DL,985,BOS,39,187,21,45,182,73.04,69.98,90.14,190,8.05546,0,1023.6,10,Wednesday,FALSE,FALSE,-1.398815949,-7.933079462,FALSE
537,JFK,2013-07-04 12:00,N306JB,2013,7,4,1305,1255,10,4,B6,1318,BOS,38,187,12,55,20,82.04,73.04,74.25,190,11.5078,0,1024.2,10,Thursday,FALSE,FALSE,-1.998308499,-11.33297066,FALSE
539,JFK,2013-07-04 12:00,N316NB,2013,7,4,1154,1200,-6,-18,DL,1006,BOS,36,187,12,0,145,82.04,73.04,74.25,190,11.5078,0,1024.2,10,Thursday,FALSE,FALSE,-1.998308499,-11.33297066,FALSE
540,JFK,2013-07-04 13:00,N187JB,2013,7,4,1348,1349,-1,-6,B6,118,BOS,42,187,13,49,20,82.94,73.94,74.33,180,14.96014,0,1024,10,Thursday,FALSE,FALSE,1.83E-15,-14.96014,FALSE
541,JFK,2013-07-04 14:00,N704X,2013,7,4,1509,1455,14,4,DL,1164,BOS,36,187,14,55,178,80.96,71.96,74.15,200,17.2617,0,1023.5,10,Thursday,FALSE,FALSE,-5.903849108,-16.22069211,FALSE
543,JFK,2013-07-04 16:00,N306JB,2013,7,4,1647,1636,11,-5,B6,918,BOS,37,187,16,36,20,80.06,71.06,74.07,190,13.80936,0,1022.4,10,Thursday,FALSE,FALSE,-2.397970199,-13.59956479,FALSE
544,JFK,2013-07-04 19:00,N345NB,2013,7,4,1928,1930,-2,-20,DL,667,BOS,37,187,19,30,145,75.92,69.98,81.85,190,16.11092,0,1022.1,10,Thursday,FALSE,FALSE,-2.797631899,-15.86615892,FALSE
